obs,time,deployment,conductivity_millisiemens,driver_timestamp,ingestion_timestamp,internal_timestamp,port_timestamp,preferred_timestamp,pressure,raw_time_microseconds,raw_time_seconds,temp,dpc_ctd_seawater_conductivity,practical_salinity,density,pressure_qc_executed,pressure_qc_results,temp_qc_executed,temp_qc_results,conductivity_millisiemens_qc_executed,conductivity_millisiemens_qc_results,dpc_ctd_seawater_conductivity_qc_executed,dpc_ctd_seawater_conductivity_qc_results,density_qc_executed,density_qc_results,practical_salinity_qc_executed,practical_salinity_qc_results,lat,lon
"('19',)",3788278118.96,4,31.432800293,3788642834.25,3788642840.69,3788278118.96,0.0,internal_timestamp,2640.62011719,959492,1579289318,1.82529997826,3.1432800293,34.6153183791,1039.80385999,29,29,29,29,1,0,29,13,29,13,29,29,45.82972,-129.75904
"('20',)",3788278119.96,4,31.432800293,3788642834.25,3788642840.69,3788278119.96,0.0,internal_timestamp,2640.65991211,961979,1579289319,1.82519996166,3.1432800293,34.6154061651,1039.80412029,29,29,29,29,1,0,29,13,29,13,29,29,45.82972,-129.75904
"('21',)",3788278120.95,4,31.432800293,3788642834.25,3788642840.69,3788278120.95,0.0,internal_timestamp,2640.70996094,954019,1579289320,1.82500004768,3.1432800293,34.6155954969,1039.80452007,29,29,29,29,1,0,29,13,29,13,29,29,45.82972,-129.75904
"('22',)",3788278121.96,4,31.4326992035,3788642834.25,3788642840.69,3788278121.96,0.0,internal_timestamp,2640.64990234,955951,1579289321,1.82529997826,3.14326992035,34.6151802702,1039.80388469,29,29,29,29,1,0,29,13,29,13,29,29,45.82972,-129.75904
"('23',)",3788278122.95,4,31.4328994751,3788642834.25,3788642840.69,3788278122.95,0.0,internal_timestamp,2640.65991211,947689,1579289322,1.82509994507,3.14328994751,34.6156344247,1039.80431316,29,29,29,29,1,0,29,13,29,13,29,29,45.82972,-129.75904
"('24',)",3788278123.94,4,31.432800293,3788642834.25,3788642840.69,3788278123.94,0.0,internal_timestamp,2640.69995117,939887,1579289323,1.82529997826,3.1432800293,34.6152808534,1039.80418617,29,29,29,29,1,0,29,13,29,13,29,29,45.82972,-129.75904
"('25',)",3788278124.94,4,31.432800293,3788642834.25,3788642840.69,3788278124.94,0.0,internal_timestamp,2640.62011719,944824,1579289324,1.82529997826,3.1432800293,34.6153183791,1039.80385999,29,29,29,29,1,0,29,13,29,13,29,29,45.82972,-129.75904
"('26',)",3788278125.94,4,31.4330005646,3788642834.25,3788642840.69,3788278125.94,0.0,internal_timestamp,2640.64990234,944292,1579289325,1.82509994507,3.14330005646,34.6157632393,1039.80436925,29,29,29,29,1,0,29,13,29,13,29,29,45.82972,-129.75904
"('27',)",3788278126.95,4,31.4330005646,3788642834.25,3788642840.69,3788278126.95,0.0,internal_timestamp,2640.64990234,946764,1579289326,1.82509994507,3.14330005646,34.6157632393,1039.80436925,29,29,29,29,1,0,29,13,29,13,29,29,45.82972,-129.75904
"('28',)",3788278127.94,4,31.4328994751,3788642834.25,3788642840.69,3788278127.94,0.0,internal_timestamp,2640.66992188,938139,1579289327,1.82539999485,3.14328994751,34.6153102442,1039.80406094,29,29,29,29,1,0,29,13,29,13,29,29,45.82972,-129.75904
"('29',)",3788278128.94,4,31.4328994751,3788642834.25,3788642840.69,3788278128.94,0.0,internal_timestamp,2640.65991211,941418,1579289328,1.82490003109,3.14328994751,34.615847284,1039.80450845,29,29,29,29,1,0,29,13,29,13,29,29,45.82972,-129.75904
